Principales Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datos erroneos no confiables de Sale-U,,,,-,Sin datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Programadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Efectivas ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aporte ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Promedio  conversion Historico ,#DIV/0!,Promedio Aporte Historico,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,76,22,52,41,150,40,48,78,92,45,69,40,114,154,49,89,104,74,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aporte Otros,25.00%,28.57%,-25.00%,92.31%,33.33%,33.33%,29.41%,29.41%,73.91%,13.64%,21.88%,11.54%,20.00%,20.00%,13.33%,23.53%,12.50%,16.67%,18.52%,2.63%,17.50%,19.05%,23.53%,52.63%,13.33%,36.59%,41.46%,28.57%,24.32%,,,* Cartera /  Casa / Eventos / Prospecciòn / Estrategicas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
